layer,measurement,measurement_label,site,peak_abs_z,peak_z_ci_lower_abs,peak_timepoint,clinical_flagged_count,concordance_class,signal_score,rank_overall,rank_within_layer
microbial,K03592,PmbA protein,ORC,7.29906167660292,6.5167795222523415,R+1,0,concordant,7.82013542670281,1288,723
microbial,K16148,alpha-maltose-1-phosphate synthase [EC:2.4.1.342],NAC,10.518151185399375,9.773239251909475,R+1,0,ambiguous,7.818591401527581,1289,562
microbial,K00390,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],NAC,11.054971959946494,9.770291691919775,R+1,0,ambiguous,7.816233353535821,1290,563
microbial,K09820,manganese/iron transport system ATP-binding protein,NAC,11.274210706001906,9.769988953920468,R+1,0,ambiguous,7.815991163136374,1291,564
microbial,K19158,toxin YoeB [EC:3.1.-.-],ORC,7.238623250870074,6.509039425643627,R+1,0,concordant,7.810847310772352,1292,724
microbial,K06400,site-specific DNA recombinase,ORC,11.512124670554748,9.763009973560852,R+1,0,ambiguous,7.810407978848682,1293,725
microbial,K02914,large subunit ribosomal protein L34,ORC,8.493951943999111,7.804796143407548,R+82,0,idiosyncratic,7.804796143407548,1294,726
microbial,K03699,putative hemolysin,ORC,8.941496838838198,7.804258569761119,R+82,0,idiosyncratic,7.804258569761119,1295,727
microbial,K03526,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3],ORC,7.539804428461428,6.500822255406689,R+82,0,concordant,7.800986706488026,1296,728
microbial,K20438,validoxylamine A glucosyltransferase [EC:2.4.1.338],ORC,8.617301838993667,7.796034428981428,R+82,0,idiosyncratic,7.796034428981428,1297,729
microbial,K09800,translocation and assembly module TamB,ORC,9.298514995288365,7.789564155827075,R+82,0,idiosyncratic,7.789564155827075,1298,730
microbial,K06211,"HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]",ORC,8.554914023928427,7.787754320273363,R+82,0,idiosyncratic,7.787754320273363,1299,731
microbial,K02520,translation initiation factor IF-3,ORC,9.171749493807775,7.781942260638942,R+82,0,idiosyncratic,7.781942260638942,1300,732
microbial,K01879,glycyl-tRNA synthetase beta chain [EC:6.1.1.14],ORC,7.232716949822608,6.481269655135662,R+1,0,concordant,7.777523586162794,1301,733
microbial,K04063,lipoyl-dependent peroxiredoxin [EC:1.11.1.28],NAC,9.323871619770742,7.77312202891527,R+1,0,idiosyncratic,7.77312202891527,1302,565
microbial,K03801,lipoyl(octanoyl) transferase [EC:2.3.1.181],NAC,10.481431996516877,9.714906257369657,R+1,0,ambiguous,7.771925005895726,1303,566
microbial,K01934,5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],NAC,11.421190113954559,9.71053034244881,R+1,0,ambiguous,7.768424273959048,1304,567
microbial,K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],NAC,10.795410137745714,9.703306735414355,R+1,0,ambiguous,7.762645388331484,1305,568
microbial,K00857,thymidine kinase [EC:2.7.1.21],ORC,8.926890529692376,7.754109205908902,R+82,0,idiosyncratic,7.754109205908902,1306,734
microbial,K16898,ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12],ORC,11.276097927776565,9.689308040659105,R+1,0,ambiguous,7.751446432527285,1307,735
microbial,K01153,"type I restriction enzyme, R subunit [EC:3.1.21.3]",ORC,8.210232812440646,7.748806562254305,R+1,0,idiosyncratic,7.748806562254305,1308,736
microbial,K03701,excinuclease ABC subunit A,ORC,11.22753922165017,9.68366502039957,R+1,0,ambiguous,7.746932016319656,1309,737
microbial,K02316,DNA primase [EC:2.7.7.101],NAC,11.492692550961362,9.68326882091428,R+1,0,ambiguous,7.746615056731425,1310,569
microbial,K02228,precorrin-6A synthase [EC:2.1.1.152],NAC,11.520189771620226,9.6763568486582,R+1,0,ambiguous,7.741085478926561,1311,570
microbial,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],NAC,10.98211471067522,9.674461957520895,R+1,0,ambiguous,7.7395695660167165,1312,571
microbial,K18565,2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-],ORC,10.581357933120179,9.67372135138466,R+1,0,ambiguous,7.738977081107729,1313,738
microbial,K09765,epoxyqueuosine reductase [EC:1.17.99.6],ORC,8.842033351380719,7.735520577156236,R+82,0,idiosyncratic,7.735520577156236,1314,739
microbial,K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",ORC,9.226541004942744,7.733874147739853,R+82,0,idiosyncratic,7.733874147739853,1315,740
microbial,K03466,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",NAC,11.445604262128828,9.663365887824023,R+1,0,ambiguous,7.730692710259219,1316,572
microbial,K23842,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],NAC,11.454246063920072,9.661639765488985,R+1,0,ambiguous,7.729311812391188,1317,573
microbial,K24915,TMEM175 potassium channel family protein,ORC,8.801652448533819,7.728796885444564,R+82,0,idiosyncratic,7.728796885444564,1318,741
microbial,K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],ORC,8.752270529699224,7.728121914898951,R+82,0,idiosyncratic,7.728121914898951,1319,742
microbial,K00974,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-],ORC,9.048865561596692,7.726876803808772,R+45,0,idiosyncratic,7.726876803808772,1320,743
microbial,K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],NAC,11.285506175344848,9.651499390056909,R+1,0,ambiguous,7.721199512045527,1321,574
